Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,240.876,241.4425,2,1,0.561,,,,,,,3,M,,2,0,8,8,2,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,241.4428,242.0097,3,1,0.5647,,,,,,,4,R,,3,0,9,9,3,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,242.01,242.5427,2,1,0.531,,,,,,,8,M,,2,1,0,10,7,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,242.543,243.1092,3,1,0.5654,,,,,,,2,R,,3,1,1,11,1,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,243.1095,243.8257,3,1,0.714,,,,,,,4,R,,3,1,2,12,3,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,243.826,244.7097,3,1,0.8816,,,,,,,7,R,,3,1,3,13,6,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,244.71,245.3591,2,1,0.6481,,,,,,,1,M,,2,1,4,14,0,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,245.3595,245.9767,1,1,0.6153,,,,,,,5,I,,1,1,5,15,4,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,245.9771,246.5254,4,1,0.5477,,,,,,,9,L,,4,1,6,16,8,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,246.5257,247.0253,2,1,0.499,,,,,,,3,M,,2,1,7,17,2,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,247.0257,247.6925,1,1,0.6651,,,,,,,6,I,,1,1,8,18,5,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,247.6928,248.359,1,1,0.665,,,,,,,10,I,,1,1,9,19,9,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,248.3592,249.2758,1,1,0.9156,,,,,,,10,I,,1,2,0,20,9,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,249.2762,250.0095,3,1,0.7313,,,,,,,4,R,,3,2,1,21,3,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,250.0097,250.5589,2,1,0.5469,,,,,,,1,M,,2,2,2,22,0,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,250.5592,251.1592,1,1,0.5985,,,,,,,5,I,,1,2,3,23,4,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,251.1595,251.7759,4,1,0.6147,,,,,,,9,L,,4,2,4,24,8,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,251.7761,252.2755,2,1,0.4881,,,,,,,8,M,,2,2,5,25,7,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,252.2758,253.2591,3,1,0.9819,,,,,,,2,R,,3,2,6,26,1,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,253.2595,253.9762,3,1,0.7108,,,,,,,7,R,,3,2,7,27,6,1,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,253.9763,254.5586,2,1,0.5788,,,,,,,3,M,,2,2,8,28,2,1,,
